"","isolate.code","source","isolation.latitude","isolation.longitude","habitat","name","speciesname","former.name.1","former.name.2","strain","clone","species","genus","family","order","class","phylum","kingdom","domain","comment","group","mu.rsqrlist","mu.wlist","mu.alist","mu.blist","mu.c.opt.list","mu.c.opt.val.list","mu.g.opt.list","mu.g.opt.val.list","mu.n","tmin","tmax","minqual","maxqual","lowerbound","upperbound","growth.change.inc","growth.change.dec"
"56",119,"Nama wan, Japan",33.03,129.08,"marine","Cochlodinium polykrikoides strain KG8-ND14","Cochlodinium polykrikoides","","","KG8-ND14","","polykrikoides","Cochlodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.988966746",32.68695401,0.027852717,0.128451568,17.40545233,0.260522225,27.72294214,0.589697738,18,1.061975325,33.74892934,"bad","good",12.101975325,33.25894214,0.0302003196080665,0.0852164361271676
"57",123,"Suo-Nada, Western Seto Inland Sea, Japan",33.81,131.34,"marine","Karenia mikimotoi","Karenia mikimotoi","Gymnodinium nagasakiense","","","","mikimotoi","Karenia","Kareniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.996305795",36.41561626,0.024626451,0.15016712,13.39133825,0.183967629,26.11964833,0.636109244,5,-4.81646988,31.59914638,"bad","good",11.04653012,31.15664833,0.033761255508657,0.101029858090133
"58",126,"Cape Fear River, North Carolina",34,-77.94,"estuarine","Pseudo-nitzschia americana","Pseudo-nitzschia americana","Nitzschia americana","","","","americana","Pseudo-nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.991225534",32.9710467,1.700663288,0.018309959,25.05486056,2.690620437,27.48939047,2.751918181,5,8.569337209,41.54038391,"good","bad",10.921337209,40.20939047,0.132878287516268,0.173076615157233
"59",129,"Aso Bay, Tshushima, Nagasaki Prefecture, Japan",34.31,129.24,"marine","Cochlodinium polykrikoides strain 03H1","Cochlodinium polykrikoides","","","03H1","","polykrikoides","Cochlodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.970140798",25.74359727,0.137619095,0.053928121,23.59271667,0.491175041,27.62006713,0.550575273,17,10.72091803,36.4645153,"good","bad",13.50791803,35.69006713,0.0312114204065489,0.0545799527137546
"60",132,"Harima-Nada, Eastern Seto Inland Sea, Japan",34.5,134.58,"marine","Eucampia zodiacus","Eucampia zodiacus","","","","","zodiacus","Eucampia","Hemiaulaceae","Hemiaulales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","Growth rates estimated from nonlinear fitting. One value presented was measured in previous study.","diatoms","0.984761901",56.87758417,0.185663395,0.153371255,0.286436425,0.194001608,22.94311006,2.288625141,6,-28.15235566,28.72522851,"bad","good",6.16864434,28.26211006,0.10914804342275,0.344218859334461
"61",138,"Sagami Bay, Japan",35.15,139.35,"marine","Biceratium furca","Biceratium furca","Ceratium furca","","","","furca","Biceratium","Ceratiaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.970349451",21.59744643,0.121444807,0.066565797,21.17035474,0.49704543,24.64981831,0.561538893,12,10.37163152,31.96907795,"good","good",12.77263152,31.32981831,0.0378230234434159,0.0672501668263473
"62",139,"Sagami Bay, Japan",35.15,139.35,"marine","Neoceratium fusus","Neoceratium fusus","Ceratium fusus","","","","fusus","Neoceratium","Ceratiaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.915427003",22.44312697,0.053398066,0.09249535,20.72286268,0.363050875,25.4947875,0.462411471,12,9.501299194,31.94442617,"good","good",12.965299194,31.3987875,0.029524683511844,0.0626573808943089
"63",140,"Sagami Bay",35.15,139.35,"marine","Chaetoceros pseudocurvisetus","Chaetoceros pseudocurvisetus","","","","","pseudocurvisetus","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.994251854",19.91283116,2.063847613,-0.01164492,24.99063748,1.542736883,24.41590163,1.547921446,5,15.0342219,34.94705306,"good","good",15.9782219,33.77090163,0.14676275900792,0.132371689663282
"64",146,"Tokyo Bay",35.5,140,"marine","Skeletonema costatum","Skeletonema costatum","","","","","costatum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.984826495",32.62759366,0.645173777,0.036457275,18.57892891,1.270107498,23.06399847,1.382677953,8,2.265132082,34.89272574,"good","good",5.441132082,33.84099847,0.062767448725209,0.1026391725341
"65",169,"Monterrey Bay, CA, USA",36.61,-121.89,"marine","Peridinium sp. strain 1","Peridinium ","","","1","","","Peridinium","Peridiniaceae","Peridiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.803487196",22.40254929,0.625220422,-0.005239772,18.26938695,0.568145094,17.9411089,0.568634376,20,7.068112304,29.47066159,"good","good",8.187112304,28.2201089,0.0466380622878782,0.0442560074715439
"66",170,"Monterrey Bay, CA, USA",36.61,-121.89,"marine","Prorocentrum gracile","Prorocentrum gracile","","","","","gracile","Prorocentrum","Prorocentraceae","Prorocentrales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.917378311",16.94404326,0.433951119,0.016072336,16.37900743,0.564635732,16.95163289,0.567252954,10,7.906985802,24.85102906,"good","good",8.927985802,24.06163289,0.056558116056562,0.0638259301265823
"67",171,"Monterrey Bay, CA, USA",36.61,-121.89,"marine","Prorocentrum micans","Prorocentrum micans","","","","","micans","Prorocentrum","Prorocentraceae","Prorocentrales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.924914161",25.4674782,0.064178875,0.101278445,17.31819609,0.370789337,23.55714388,0.530062939,20,4.584456988,30.05193519,"good","good",9.550456988,29.51114388,0.030274850467472,0.0712210868659724
"68",173,"Potomac estuary, USA",38.22,-76.85,"estuarine","Gyrodinium uncatenum strain GYRO","Gyrodinium uncatenum","","","GYRO","","uncatenum","Gyrodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.876502025",28.07013578,0.081707832,0.071482014,21.76476656,0.387199169,27.59066745,0.486032813,19,7.729698665,35.79983445,"good","good",11.915698665,35.10366745,0.0248055518153301,0.0517537934779715
"69",181,"Slope Water (near US E. coast)",38.4,-73.4,"marine","Chaetoceros lorenzianus clone Slope water","Chaetoceros lorenzianus","","","","Slope water","lorenzianus","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.873520986",50.81457283,0.075029008,0.131743062,10.63932329,0.304762212,29.56568197,1.641693852,9,-14.76796313,36.0466097,"bad","good",11.20903687,35.52568197,0.0715465747932339,0.220361590872483
"70",188,"39¡36'N 70¡06'W (continental shelf edge)",39.6,-70.1,"marine","Conticribra guillardii clone 7-15","Conticribra guillardii","Thalassiosira guillardi ","Cyclotella nana ","","15-Jul","guillardii","Conticribra","Thalassiosiraceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.998636963",28.1382629,1.325494676,0.008496659,15.82393141,1.516244077,16.66148716,1.521660864,5,1.754799963,29.89306286,"good","good",3.422799963,28.56348716,0.0919523720959173,0.102279338867417
"71",191,"Sandy Hook, NJ, USA",40.44,-73.98,"marine","Cylindrotheca closterium","Cylindrotheca closterium","Nitzschia closterium","","","","closterium","Cylindrotheca","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.99996909",26.98372843,0.450199244,0.010922461,21.25820623,0.567864125,22.24638066,0.570947125,4,7.766342016,34.75007045,"good","good",9.410342016,33.50638066,0.0355840078600499,0.0405646269982238
"72",194,"Great South Bay, Long Island, NY, USA",40.68,-73.13,"estuarine","Phaeodactylum tricornutum","Phaeodactylum tricornutum","Nitzschia closterium forma minutissima","","","","tricornutum","Phaeodactylum","Phaeodactylaceae","Naviculales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.988172045",29.28736549,0.410273901,-0.01605096,15.16337582,0.321641717,13.46490003,0.326084364,6,0.519693072,29.80705856,"good","good",1.770693072,27.85690003,0.0223074118781129,0.0181258679266259
"73",198,"Forge River, Moriches Bay, NY, USA",40.78,-72.81,"estuarine","Thalassiosira pseudonana clone CCMP1335, 3H, NEPCC 58","Thalassiosira pseudonana","Cyclotella nana ","","","CCMP1335, 3H, NEPCC 58","pseudonana","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.695529074",38.8871048,0.211491453,0.094450835,14.34904867,0.820131113,25.90045323,1.579977411,52,-5.094503731,33.79260106,"bad","good",6.262496269,33.14745323,0.064364227465729,0.174414506526839
"74",200,"Senix Creek, Moriches bay, NY, USA",40.79,-72.8,"estuarine","Thalassiosira pseudonana clone 5A","Thalassiosira pseudonana","Cyclotella nana ","","","5A","pseudonana","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.99954191",28.68627116,0.543171853,0.065617167,15.94643515,1.546555766,21.63513902,1.892991849,5,1.603299573,30.28957073,"good","bad",5.623299573,29.55113902,0.0945796068098684,0.191307918039414
"75",205,"tank in Milford, CT, USAÊ",41.23,-73.06,"marine","Skeletonema marinoi clone CCMP1332, Skel.","Skeletonema marinoi","Skeletonema costatum","","","CCMP1332, Skel.","marinoi","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.954802363",80.24922516,0.217434696,0.122135701,-9.007353751,0.072369076,23.75689552,1.318867819,11,-49.13196633,31.11725883,"bad","good",2.25303367,30.52789552,0.0490653382429538,0.155825469679516
"76",206,"Woods Hole Harbour, MA, USA",41.53,-70.67,"marine","Skeletonema costatum","Skeletonema costatum","","","","","costatum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.931238141",31.88085229,0.604906117,0.02037996,20.56254021,0.919782308,23.08868041,0.944055511,20,4.622114067,36.50296636,"good","bad",6.951114067,35.23968041,0.0468003906380594,0.0621549180149782
"77",210,"Narragansett Bay, RI, USA",41.57,-71.34,"estuarine","Asterionellopsis glacialis","Asterionellopsis glacialis","Asterionella glacialis","","","","glacialis","Asterionellopsis","Fragilariaceae","Fragilariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.910292287",72.22483187,0.319236982,0.13002056,-5.886091277,0.148505328,23.34490479,2.290348952,8,-41.99850721,30.22632466,"bad","good",3.29049279,29.67590479,0.091365389401594,0.289413862201864
"78",211,"Narragansett Bay, RI, USA",41.57,-71.34,"estuarine","Detonula confervacea","Detonula confervacea","","","","","confervacea","Detonula","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.693290437",17.29224782,1.464007519,-0.064439761,9.432186068,0.797215488,7.186515206,0.859191459,16,0.786062158,18.07830998,"good","good",1.359062158,16.461515206,0.117950871768225,0.0741081581886792
"79",214,"Narragansett Bay, RI, USA",41.57,-71.34,"estuarine","Dactyliosolen fragilissimus","Dactyliosolen fragilissimus","Rhizosolenia fragilissima","","","","fragilissimus","Dactyliosolen","Rhizosoleniaceae","Rhizosoleniales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.904288647",106.7520716,10.25976212,-0.086331734,60.27174066,0.056408568,17.2368938,0.810721171,86,6.895704854,113.6477765,"good","bad",7.723704854,47.3408938,0.0681766062338861,0.02154454347595
"80",216,"Narragansett Bay, RI, USA",41.57,-71.34,"estuarine","Thalassiosira nordenskioeldii clone TN-2","Thalassiosira nordenskioeldii","","","","TN-2","nordenskioeldii","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.700572749",20.52219032,0.518014161,0.098889479,5.425335963,0.885817747,9.720040388,1.117249172,12,-4.835759195,15.68643112,"good","good",-1.739759195,15.181040388,0.0779943253916852,0.163669536275407
"81",217,"Narragansett Bay, RI, USA",41.57,-71.34,"estuarine","Thalassiosira rotula clone A8","Thalassiosira rotula","","","","A8","rotula","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.750108403",30.13073167,0.476852107,0.04545779,14.8570926,0.936900405,19.52169736,1.047163656,20,-0.20827323,29.92245844,"good","good",3.02172677,29.00969736,0.0507716616966406,0.08829373153457
"82",218,"Chase Garden Creek, Dennis, MA, USA",41.73,-70.23,"estuarine","Phaeodactylum tricornutum clone Pet Pd","Phaeodactylum tricornutum","Nitzschia closterium forma minutissima","","","PetPD","tricornutum","Phaeodactylum","Phaeodactylaceae","Naviculales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.809324121",26.8164449,0.34869178,0.070898613,16.89745941,1.155391839,22.25382203,1.419544966,12,3.489236963,30.30568186,"bad","bad",7.283236963,29.61982203,0.075857821702861,0.154172681618246
"83",219,"Mill Pond, Cape Cod, MA, USA",41.79,-69.95,"estuarine","Alexandrium tamarense clone GTMP","Alexandrium tamarense","Protogonyaulax tamarensis","","","GTMP","tamarense","Alexandrium","Gonyaulacaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.845565411",21.98264648,0.139321058,0.048445921,15.00866227,0.288267684,17.75243334,0.308731612,10,4.017339028,25.99998551,"good","good",6.019339028,25.25843334,0.0210503114551288,0.03290504790834
"84",220,"Cape Cod, MA, USA",41.9,-70.32,"marine","Asterionellopsis glacialis","Asterionellopsis glacialis","Asterionella japonica","","","","glacialis","Asterionellopsis","Fragilariaceae","Fragilariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.433503828",72.41653514,0.461899005,0.082654428,-7.898971148,0.240437773,18.17843301,0.998862622,11,-44.10723872,28.30929642,"bad","good",-10.09623872,27.49343301,0.0282616931942007,0.0857853030166398
"85",221,"Cape Cod, MA, USA",41.9,-70.32,"marine","Rhizosolenia setigera","Rhizosolenia setigera","","","","","setigera","Rhizosolenia","Rhizosoleniaceae","Rhizosoleniales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.938278532",19.05000777,0.568095124,-0.007279955,10.60633402,0.525881151,10.27695763,0.526513293,8,1.081330133,20.1313379,"good","good",2.024330133,19.05695763,0.0510395791586521,0.0479738763553531
"86",223,"Cape Cod, MA, USA",41.9,-70.32,"marine","Thalassionema nitzschioides","Thalassionema nitzschioides","","","","","nitzschioides","Thalassionema","Thalassionemataceae","Thalassionematales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.908373991",81.66111922,0.386154148,0.107285447,-13.48941559,0.090832636,19.07092476,1.08775224,11,-54.3199752,27.34114402,"bad","good",-4.9289752,26.67892476,0.0362585591377607,0.114379835962145
"87",225,"Galician Rias Bajas, northwest Spain",42.43,-8.95,"estuarine","Gymnodinium catenatum","Gymnodinium catenatum","","","","","catenatum","Gymnodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.861921563",21.82143905,0.02149366,0.133772571,18.36798455,0.250858872,24.11874221,0.391005312,13,7.457265026,29.27870408,"good","good",12.357265026,28.85174221,0.0265956601119399,0.0660900590745827
"88",231,"Mediterranean Sea (surface)",43.2,6.87,"marine","Prochlorococcus marinus strain MED4 (clade 2)","Prochlorococcus marinus","","","MED4","","marinus","Prochlorococcus","Synechococcaceae","Synechococcales","Cyanophyceae","Cyanobacteria","Bacteria","Prokaryota","","cyanobacteria","0.989456622",23.20467225,0.016034194,0.171908863,16.39537414,0.268602798,23.55714254,0.56947801,8,4.793038008,27.99771026,"bad","good",12.214038008,27.63614254,0.0401638199414241,0.111689729835744
"89",232,"Gulf of Marseille, Mediterranean Sea",43.32,5.32,"marine","Prorocentrum minimum","Prorocentrum minimum","","","","","minimum","Prorocentrum","Prorocentraceae","Prorocentrales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.739233346",24.28520764,0.248802163,0.047447902,20.092491,0.645486689,23.33986138,0.699158063,74,7.949887184,32.23509483,"good","good",10.266887184,31.44186138,0.0427849425856849,0.0690356023697852
"90",233,"off Monhegan Island, Gulf of Maine, USA",43.56,-69.45,"marine","Alexandrium fundyense strain MI","Alexandrium fundyense","","","MI","","fundyense","Alexandrium","Gonyaulacaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.914589114",21.04352298,0.127795925,0.072778795,13.40371123,0.338979831,16.96930785,0.388951738,5,2.881949739,23.92547272,"good","good",5.339949739,23.32130785,0.0267565404238157,0.0489863649874055
"91",234,"Saromako Lagoon",44.14,143.79,"marine","Detonula confervacea","Detonula confervacea","","","","","confervacea","Detonula","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.976033926",25.12847348,0.524932362,0.096272292,2.441150786,0.664001627,8.356173568,0.913402092,6,-10.12308595,15.00538752,"bad","good",-5.56108595,14.449173568,0.0525047099003159,0.119928060659774
"92",235,"Saromako Lagoon",44.14,143.79,"marine","Thalassiosira nordenskioeldii","Thalassiosira nordenskioeldii","","","","","nordenskioeldii","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.976850609",76.39745115,0.617399663,0.120712008,-18.18626647,0.068732065,12.61583436,0.990229979,7,-56.38499204,20.01245911,"bad","good",-8.91599204,19.41983436,0.0367913045778597,0.116429156848912
"93",239,"Bay of Fundy",44.7,-66.51,"marine","Alexandrium fundyense strain BoF","Alexandrium fundyense","","","BoF","","fundyense","Alexandrium","Gonyaulacaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.894091384",22.14423931,0.115588933,0.046625478,13.07049983,0.212609792,15.75863192,0.226793821,5,1.998380173,24.14261948,"good","good",3.980380173,23.38663192,0.0154042434053265,0.0237854033560566
"94",240,"Northeast Pacific",45,-145,"marine","Pseudo-nitzschia granii","Pseudo-nitzschia granii","","","","","granii","Pseudo-nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.868516311",19.75950202,0.898999398,0.0019933,13.63229011,0.923763061,13.7308047,0.923852611,10,3.752539098,23.51204112,"good","good",4.815539098,22.4878047,0.0829007369824404,0.0843990052301017
"95",242,"Pomquet Harbour, Nova Scotia, Canada",45.64,-61.84,"marine","Pseudo-nitzschia multiseries","Pseudo-nitzschia multiseries","Nitzschia pungens f. multiseries","","","","multiseries","Pseudo-nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.959190569",58.33919097,0.088259483,0.104669883,1.449496896,0.102719278,22.58950319,0.445767394,5,-27.72009859,30.61909238,"bad","bad",0.115901410000003,29.97250319,0.0158681246865094,0.0483020337532169
"96",256,"Friday Harbour, WA, USA",48.54,-123.01,"marine","Skeletonema costatum clone FHS 3","Skeletonema costatum","","","","FHS 3","costatum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.556521066",27.79196697,0.478869185,0.04315888,14.04347952,0.877896149,17.89035061,0.957018248,17,0.14749603,27.939463,"good","good",2.86749603,27.04635061,0.0509633235363449,0.0836188945391001
"97",257,"Friday Harbour, WA, USA",48.54,-123.01,"marine","Skeletonema costatum clone FHS 7","Skeletonema costatum","","","","FHS 7","costatum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.872587119",94.64576804,0.250448673,0.127831788,-16.11111015,0.031936258,24.0311604,1.516010573,11,-63.43399417,31.21177387,"bad","good",2.86700583,30.6381604,0.057304838442219,0.183564168064174
"98",259,"Vancouver, Canada",49.28,-123.17,"marine","Phaeodactylum tricornutum strain NEPCC 640","Phaeodactylum tricornutum","Nitzschia closterium forma minutissima","","NEPCC 640","","tricornutum","Phaeodactylum","Phaeodactylaceae","Naviculales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.999996689",25.24600419,0.577759038,-0.007955433,17.37937334,0.50315408,16.74631609,0.504422591,4,4.75637125,30.00237544,"bad","good",5.97037125,28.53431609,0.0374480455117103,0.0342329549372243
"99",260,"NE Pacific Ocean",49.67,-144.67,"marine","Emiliania huxleyi strain Van556","Emiliania huxleyi","Coccolithus huxleyi","","Van556","","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.971312678",112.2523413,0.468835325,0.097054096,-28.9919332,0.028119568,17.76853015,0.804514042,6,-85.11810387,27.13423746,"bad","good",-9.72810387,26.38553015,0.0234069098469239,0.0746908707902982
"100",262,"off Plymouth, England",50.35,-4.15,"marine","Phaeodactylum tricornutum strain CCAP 1052/1A","Phaeodactylum tricornutum","Nitzschia closterium forma minutissima","","CCAP 1052/1A","","tricornutum","Phaeodactylum","Phaeodactylaceae","Naviculales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.838360887",48.27928838,0.074241976,0.14473025,3.706374034,0.126945028,21.90669747,0.763189853,4,-20.43327016,27.84601823,"bad","good",4.99972984,27.36869747,0.0361124416726644,0.111781743390699
"101",320,"Limfjord, Denmark",56.57,9.07,"estuarine","Alexandrium ostenfeldii clone LF-37","Alexandrium osterfeldii","","","","LF-37","osterfeldii","Alexandrium","Gonyaulacaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.989714731",17.1849883,0.046075786,0.079387433,17.68193749,0.187543569,20.33422812,0.209440455,10,9.089443345,26.27443164,"good","good",10.926443345,25.75322812,0.0178099699352444,0.0309194249861598
"102",324,"Northern Baltic",58.88,20.32,"marine","Gymnodinium corollarium clone GCTV-B4","Gymnodinium corollarium","","","GCTV-B4","","corollarium","Gymnodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.862814267",13.25211812,0.401869671,-0.059491039,4.107868132,0.314739871,2.849833517,0.326972173,6,-2.518190927,10.73392719,"good","good",-2.021190927,9.692833517,0.0537007648816471,0.0382255938038872
"103",329,"Oslofjord, Norway",59.45,10.52,"estuarine","Karlodinium veneficum strain KT76E","Karlodinium veneficum","Gymnodinium galatheanum","","KT76E","","veneficum","Karlodinium","Kareniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.978257848",37.30297462,0.07574573,0.114448515,8.642591711,0.203672613,20.50252323,0.47144134,5,-10.0088956,27.29407902,"bad","good",2.8121044,26.74152323,0.0213196236688535,0.0604508850777368
"104",330,"Oslofjord, Norway",59.45,10.52,"estuarine","Gymnodinium aureolum","Gymnodinium aureolum","Gyrodinium aureolum","","","","aureolum","Gymnodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.994674703",24.20864379,0.929123417,-0.039317074,23.03175094,0.375666025,20.29785511,0.396957356,5,10.92742904,35.13607283,"good","bad",11.77942904,33.06085511,0.0372798780185927,0.0248817585834052
"105",344,"Dr¿bak Sound, Oslofjord, Norway",59.67,10.61,"estuarine","Biceratium furca","Biceratium furca","Ceratium furca","","","","furca","Biceratium","Ceratiaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.970213941",21.24833577,0.041685678,0.094295034,16.34041288,0.194606076,20.74705841,0.244133011,5,5.716244997,26.96458077,"good","good",8.880244997,26.43705841,0.016458201709487,0.0343245006678383
"106",345,"Dr¿bak Sound, Oslofjord, Norway",59.67,10.61,"estuarine","Neoceratium fusus","Neoceratium fusus","Ceratium fusus var. seta","","","","fusus","Neoceratium","Ceratiaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.94603317",24.38762759,0.23375506,-0.015855164,17.28974264,0.177708064,16.12133425,0.179368722,5,5.09592885,29.48355644,"good","good",6.17592885,27.92733425,0.0144282683137281,0.0121544111129934
"107",346,"Dr¿bak Sound, Oslofjord, Norway",59.67,10.61,"estuarine","Neoceratium lineatum","Neoceratium lineatum","Ceratium lineatum","","","","lineatum","Neoceratium","Ceratiaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.966041916",27.64601878,0.047242363,0.084589558,15.14056168,0.170038422,21.50728615,0.229555601,5,1.317552291,28.96357107,"good","good",6.154552291,28.33828615,0.0119616794302954,0.0268839819645733
"108",347,"Dr¿bak Sound, Oslofjord, Norway",59.67,10.61,"estuarine","Ceratium tripos var. atlanticum","Ceratium tripos","","","","","tripos","Ceratium","Ceratiaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.779773951",68.63176827,0.125376411,0.048731565,-3.141589252,0.107579051,16.32153791,0.188396101,5,-37.45747339,31.17429488,"bad","bad",-19.43047339,29.95453791,0.00421561963424419,0.0110552982322306
"109",348,"Iceland Basin",60,-20,"marine","Emiliania huxleyi strain G1779Ga","Emiliania huxleyi","Coccolithus huxleyi","","G1779Ga","","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.981334416",30.99915738,0.222627194,0.086222476,14.62927828,0.785932718,22.38965324,1.149860838,7,-0.870300411,30.12885697,"bad","good",5.422699589,29.48565324,0.0542164898497134,0.129634818263811
"110",353,"Norway",60.43,5.63,"marine","Emiliania huxleyi strain B92/21","Emiliania huxleyi","Coccolithus huxleyi","","B92/21","","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.981355168",81.68244218,0.189067134,0.138993296,-13.8087931,0.027737145,20.46674854,0.961369611,8,-54.65001419,27.03242799,"bad","good",1.15898581,26.50774854,0.0398334959650708,0.127312645058765
"111",358,"Norwegian Sea",66,2,"marine","Emiliania huxleyi clone M","Emiliania huxleyi","Coccolithus huxleyi","","","M","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.979850053",21.22175864,0.046143218,0.123467527,16.46564248,0.352384236,21.71487,0.508848689,5,5.854763159,27.07652179,"good","good",10.066763159,26.62987,0.0349480784093711,0.082823794750763
"112",361,"Resolute Passage, Canada",74.65,-95.2,"marine","Chaetoceros sp.","Chaetoceros ","","","","","","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.950837269",25.77786131,0.499181424,0.018029413,2.074894956,0.518209055,3.553257612,0.525205341,5,-10.8140357,14.96382561,"bad","good",-9.1020357,13.860257612,0.0332006744088335,0.0407649435141166
